GroupID,Hash,SizeBytes,FileCount,WastedBytes,FilePath
1,7adbe0de526b5ace3ac631bc08333a46ac545de9491dc00c756ac5bb8750f483,34898,2,34898,"a2a-server\packages\gray-room\src\core\request-processor\gray-room-orchestrator.ts"
1,7adbe0de526b5ace3ac631bc08333a46ac545de9491dc00c756ac5bb8750f483,34898,2,0,"a2a-server\packages\features\src\gray-room\core\request-processor\gray-room-orchestrator.ts"
2,f10d805dbdff0bfc097307d29ef188a7f3332a920c763851c2ed283a48aa2d68,34855,2,34855,"a2a-server\packages\gray-room\src\core\orchestrator\gray-room-orchestrator.ts"
2,f10d805dbdff0bfc097307d29ef188a7f3332a920c763851c2ed283a48aa2d68,34855,2,0,"a2a-server\packages\features\src\gray-room\core\orchestrator\gray-room-orchestrator.ts"
3,9f8ab5cd6d4a8cf4385a703c1aacf5f728ecafe77904b54885b01cf84027bff2,16186,2,16186,"a2a-server\packages\request\src\request.service.ts"
3,9f8ab5cd6d4a8cf4385a703c1aacf5f728ecafe77904b54885b01cf84027bff2,16186,2,0,"a2a-server\packages\server\src\request\request.service.ts"
4,ce8269b07e3826ed51adaaf93b288896d2df8aa417e3d74a1fb43f76cab85cdf,8716,2,8716,"a2a-server\packages\server-utils\src\event-bus.ts"
4,ce8269b07e3826ed51adaaf93b288896d2df8aa417e3d74a1fb43f76cab85cdf,8716,2,0,"a2a-server\packages\server\src\event-bus.ts"
5,f837028ace092872c5d5462ade406508a49147b9441ab437fc2ad58b78578719,8021,2,8021,"a2a-server\packages\request\src\request-file-storage.ts"
5,f837028ace092872c5d5462ade406508a49147b9441ab437fc2ad58b78578719,8021,2,0,"a2a-server\packages\server\src\request\request-file-storage.ts"
6,bf416fa0bb1067f78b7f09d4ab9f71898692265e0419d71cd69d67893dd5c91b,7313,2,7313,"a2a-server\packages\server-utils\src\session-compaction.ts"
6,bf416fa0bb1067f78b7f09d4ab9f71898692265e0419d71cd69d67893dd5c91b,7313,2,0,"a2a-server\packages\server\src\session-compaction.ts"
7,d69485b09d7fcb9266627259fe2fc514220bbab0cceaeeab8e034ea865a60bf2,7012,2,7012,"a2a-server\packages\server-utils\src\graph-store.service.ts"
7,d69485b09d7fcb9266627259fe2fc514220bbab0cceaeeab8e034ea865a60bf2,7012,2,0,"a2a-server\packages\server\src\graph-store.service.ts"
8,977c2139cbeafbc308e626953a2136d58c9dece0522e063bd320e486c0a683ce,6658,2,6658,"a2a-server\packages\gray-room\src\core\request-processor\gray-room-trigger.ts"
8,977c2139cbeafbc308e626953a2136d58c9dece0522e063bd320e486c0a683ce,6658,2,0,"a2a-server\packages\features\src\gray-room\core\request-processor\gray-room-trigger.ts"
9,f0c416c16f30298a30980d45836c4c3a183932dbfc3a3374af3c813229a31b0f,6649,2,6649,"a2a-server\packages\gray-room\src\components\context\ultracontext.service.ts"
9,f0c416c16f30298a30980d45836c4c3a183932dbfc3a3374af3c813229a31b0f,6649,2,0,"a2a-server\packages\features\src\gray-room\components\context\ultracontext.service.ts"
10,b64b5ac3a4deede4cdaae1a6dbe89291fec0be3ff58500891cfbf801a29af58a,5724,2,5724,"a2a-server\packages\gray-room\src\core\request-processor\gray-room-utils.ts"
